Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
2009-12-19,Canberra,7.6,30.7,0.0,5.2,,,,,,,,40.7,21.9,,,,,18.0,29.4,No
2011-10-22,SydneyAirport,16.9,25.4,0.0,8.8,8.2,S,40.0,SW,E,5.0,23.0,80.2,50.4,1024.7,1021.1,7.0,6.0,19.1,25.4,No
2015-06-11,Cobar,5.5,20.5,0.0,2.6,,ENE,31.0,ENE,E,16.0,12.0,73.0,46.5,1031.9,1029.7,1.0,4.0,11.4,19.2,No
2013-09-30,Albury,6.7,26.1,0.0,,,NNE,49.0,E,NNE,6.0,28.0,71.0,40.1,1015.0,1007.0,,,15.2,24.4,No
2015-06-20,MountGambier,4.5,11.2,0.0,1.2,0.9,WSW,17.0,NNE,SSW,6.0,10.0,83.4,62.8,1029.4,1027.9,8.0,7.0,9.0,11.1,No
2011-11-02,MountGinini,4.1,12.0,0.0,,,SW,44.0,SW,WSW,19.0,17.0,83.4,80.0,,,,,6.2,9.2,No
2010-10-24,Canberra,8.5,16.4,3.2,3.2,2.4,E,29.0,E,ESE,12.0,11.0,84.2,55.5,1022.3,1020.4,7.0,7.0,9.3,15.9,Yes
2010-03-12,Watsonia,7.4,26.3,0.0,4.0,11.4,SSW,31.0,ENE,SSE,7.0,8.0,87.7,37.3,1037.7,1034.4,4.0,6.0,13.1,26.0,No
2015-10-24,Wollongong,12.5,22.3,0.0,,,NE,42.0,N,NE,9.0,27.0,62.2,67.9,1023.5,1020.6,,,19.6,20.3,No
2015-10-23,Townsville,22.1,30.0,0.0,8.0,8.4,NNE,41.0,N,NNE,19.0,30.0,62.6,61.8,1015.7,1011.9,4.0,6.0,27.9,27.3,No
